#           age (years)                      mass (M_sun)                    rho_c (g/cm^3)                      T_c (K)                         T_eff (K)                        L (L_sun)                       X(H1) center                      mu approx            
                10490366.445530634               14.996564437529038               109410522.48483151                656231089.8882279                11912.40367218982               18870.405793425667                              0.0               1.3333333333333333
                10490366.445528269               14.996564437529038               109410565.14715967                656231223.7211944               11921.965852466219               18931.040239942387                              0.0               1.3333333333333333
                10490366.445526296               14.996564437529038               109410615.16292813                656231374.6643422                11928.33039445252               18971.453552895473                              0.0               1.3333333333333333
                10490366.445524324               14.996564437529038               109410666.11982119                656231528.1721405               11931.975352368774                 18994.4937514545                              0.0               1.3333333333333333
                10490366.445522351               14.996564437529038               109410752.73144574                  656231778.84332                11933.32263323376               19002.943485760086                              0.0               1.3333333333333333
                10490366.445519065               14.996564437529038                109410882.2128302                656232156.1023442               11926.740163878261                18959.91698159105                              0.0               1.3333333333333333
                10490366.445516326               14.996564437529038               109410983.37691943                656232452.1253788               11943.066627821887               19064.134484147442                              0.0               1.3333333333333333
                10490366.445514044               14.996564437529038               109411036.58421983                656232614.0707588               11957.264594166318               19155.186555882017            6.754067277226178e-43               1.3333333333333333
                10490366.445511762               14.996564437529038               109410285.11849934                656230583.1856803               11972.031677125962                19250.22758191706                              0.0               1.3333333333333333
                10490366.445509482               14.996564437529038               109411202.71176994                656233100.6860417               11990.183190312438                19367.79260766388                              0.0               1.3333333333333333
                10490366.445504919               14.996564437529038               109411244.84112786                656233249.3921165               12017.127718088148               19543.439975476133                              0.0               1.3333333333333333
                  10490366.4454821               14.996564437529038               109411036.32099319                656232850.6448249               12007.215846287769                19477.04275169652                              0.0               1.3333333333333333
                10490366.445453575               14.996564437529038               109410826.48553741                656232490.6852049               12001.645417186319                19438.71408412573                              0.0               1.3333333333333333
                10490366.445417918               14.996564437529038               109410582.04087701                656232089.3762658                11996.70226274361                19403.46171470142                              0.0               1.3333333333333333
                10490366.445373347               14.996564437529038               109410310.39303868                656231680.1410625               11992.850549644594                19374.85808145094            4.237065594304567e-45               1.3333333333333333
                10490366.445317635                14.99656443752904               109410001.45543805                656231252.0431864               11991.783260377371               19363.993565790133                              0.0               1.3333333333333333
                10490366.445247995               14.996564437529043               109409634.57950771                656230769.5005851               11989.997924893694               19347.517964046983                              0.0               1.3333333333333333
                10490366.445160942               14.996564437529045               109409220.40276647                656230287.3618292               11990.858863796873               19346.945381323658                              0.0               1.3333333333333333
                10490366.445052128               14.996564437529047               109408712.67720695                656229711.9180788               11994.209160688084               19361.084414266257                              0.0               1.3333333333333333
                10490366.444961451               14.996564437529047               109408294.68267153                656229246.3001059               11998.108376454149               19380.334019713973                              0.0               1.3333333333333333
                10490366.444885887               14.996564437529047               109407938.12246917                656228835.8479289               12000.686019671164               19392.362341630098                              0.0               1.3333333333333333
                 10490366.44479143               14.996564437529047               109407504.25109752                656228355.0117338               11997.456154711797               19365.850374322436                              0.0               1.3333333333333333
                 10490366.44467336                14.99656443752905               109407081.29626675                656228079.3031182               11996.117896095398                19349.90587966418                              0.0               1.3333333333333333
